id	count
VOG00557	1000
VOG02771	1000
VOG00029	1000
VOG00041	1000
VOG09810	1000
VOG00064	1000
VOG00056	1000
VOG00213	1000
VOG00120	1000
VOG01646	1000
VOG00633	1000
VOG00821	1000
VOG00236	1000
VOG01125	1000
VOG00935	1000
VOG00398	1000
VOG00470	1000
VOG00727	1000
VOG00216	1000
VOG00715	1000
VOG00326	1000
PF02305.17	1000
VOG00677	1000
VOG00051	1000
VOG00012	1000
VOG03061	1000
VOG00105	1000
VOG00013	1000
VOG00688	1000
VOG00073	1000
VOG00308	1000
VOG00079	1000
VOG00241	1000
VOG00315	1000
VOG00654	1000
VOG10433	1000
VOG01109	1000
VOG00517	1000
VOG00324	1000
VOG00523	1000
VOG00214	1000
VOG00025	1000
VOG03165	1000
VOG00404	1000
VOG00243	1000
VOG01045	1000
VOG02877	1000
VOG00069	1000
VOG00719	1000
VOG00231	1000
VOG00098	1000
VOG00068	1000
VOG02615	1000
VOG00356	1000
VOG00981	1000
VOG01068	1000
VOG02648	1000
VOG00006	1000
VOG01885	1000
VOG00109	1000
VOG00004	1000
VOG02747	1000
VOG00502	1000
VOG00295	1000
VOG01150	1000
VOG00779	1000
VOG00148	1000
VOG00092	1000
VOG00771	1000
VOG02516	1000
VOG00314	1000
VOG11080	1000
VOG11081	1000
VOG02502	1000
VOG10318	1000
VOG02465	1000
VOG00158	1000
VOG00080	1000
VOG00399	1000
VOG00520	1000
VOG00559	1000
VOG00102	1000
VOG00519	1000
VOG10469	1000
VOG01833	1000
VOG00323	1000
VOG01844	1000
VOG10319	1000
VOG00973	1000
VOG00819	1000
VOG00247	1000
VOG00110	1000
VOG01144	1000
VOG00066	1000
VOG01724	1000
VOG01946	1000
VOG00084	1000
VOG00479	1000
VOG00947	994
VOG00388	990
VOG09809	982
VOG00991	980
VOG09778	978
VOG01729	971
VOG01029	964
VOG09774	954
VOG09808	952
VOG00686	950
VOG00537	949
VOG09773	949
PF00589.22	933
VOG01880	933
VOG01503	933
VOG00744	932
VOG09814	930
VOG03262	921
VOG02524	920
VOG03528	919
VOG01678	914
VOG02657	912
VOG02975	906
VOG00188	906
VOG01901	905
VOG01469	901
VOG00751	901
VOG09828	899
VOG00311	881
VOG00670	860
VOG09746	858
VOG03369	857
VOG00687	856
VOG02632	840
VOG03198	840
VOG01969	839
VOG00381	834
VOG00812	824
VOG00125	823
VOG00042	821
VOG10321	813
PF00476.20	806
VOG00054	805
VOG03064	802
VOG02501	799
VOG00475	799
VOG10432	796
VOG00164	795
VOG04477	794
VOG10317	775
VOG00701	775
VOG00248	773
VOG00129	769
VOG01020	767
K02335	766
VOG01564	759
PF13392.6	758
VOG01031	756
VOG00318	754
VOG10124	743
VOG00773	740
VOG00912	737
VOG00533	734
VOG00185	733
VOG00332	727
VOG10437	721
VOG00455	720
VOG02584	718
VOG00614	711
VOG00181	711
VOG01167	710
VOG00313	710
VOG00065	710
VOG00708	708
VOG00960	707
VOG00995	706
VOG01568	701
VOG00040	701
K14059	700
