Entry (map)	Metabolism	Pathway	KOs
map00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	K00001~K00002~K00016~K00114~K00121~K00128~K00129~K00131~K00134~K00138~K00149~K00150~K00161~K00162~K00163~K00169~K00170~K00171~K00172~K00174~K00175~K00382~K00627~K00844~K00845~K00850~K00873~K00886~K00895~K00918~K00927~K01084~K01085~K01086~K01222~K01223~K01568~K01596~K01610~K01622~K01623~K01624~K01689~K01785~K01792~K01803~K01810~K01834~K01835~K01837~K01895~K01905~K01913~K02446~K02752~K02753~K02777~K02778~K02779~K02790~K02791~K03103~K03737~K03841~K04022~K04041~K04072~K06859~K08074~K10705~K11389~K11532~K11645~K12406~K12407~K13810~K13951~K13952~K13953~K13954~K13980~K14028~K14029~K14085~K15633~K15634~K15635~K15778~K15779~K15916~K16305~K16306~K16370~K18857~K18978~K20116~K20117~K20118~K20866~K21071~K22224~K22473~K22474~
map00020	Carbohydrate metabolism	Citrate cycle (TCA cycle)	K00024~K00025~K00026~K00030~K00031~K00116~K00161~K00162~K00163~K00164~K00169~K00170~K00171~K00172~K00174~K00175~K00176~K00177~K00234~K00235~K00236~K00237~K00239~K00240~K00241~K00242~K00244~K00245~K00246~K00247~K00382~K00627~K00658~K01596~K01610~K01647~K01648~K01676~K01677~K01678~K01679~K01681~K01682~K01899~K01900~K01902~K01903~K01958~K01959~K01960~K03737~K05942~K15230~K15231~K17753~K18118~K18859~K18860~
map00030	Carbohydrate metabolism	Pentose phosphate pathway	K00032~K00033~K00034~K00036~K00090~K00115~K00117~K00131~K00615~K00616~K00850~K00851~K00852~K00874~K00895~K00918~K00948~K01053~K01057~K01086~K01619~K01621~K01622~K01623~K01624~K01625~K01690~K01783~K01807~K01808~K01810~K01835~K01839~K02446~K03738~K03841~K04041~K05308~K05774~K06151~K06152~K06859~K07404~K08093~K08094~K11395~K11441~K11529~K11532~K11645~K13810~K13812~K13831~K13937~K15778~K15779~K15916~K16305~K16306~K16370~K17463~K17464~K17465~K17466~K17467~K17468~K18020~K18021~K18022~K18124~K18125~K18126~K18127~K18128~K18978~K19243~K19813~K21071~K21840~K22199~K22229~K22345~K22969~
map00040	Carbohydrate metabolism	Pentose and glucuronate interconversions	K00002~K00007~K00008~K00011~K00012~K00039~K00040~K00041~K00065~K00078~K00594~K00699~K00848~K00853~K00854~K00875~K00880~K00963~K01051~K01184~K01195~K01213~K01629~K01685~K01686~K01728~K01730~K01731~K01783~K01804~K01805~K01812~K01815~K01820~K03077~K03078~K03079~K03331~K05351~K05352~K08092~K08322~K08323~K09988~K12447~K13247~K13877~K14259~K14273~K14274~K14275~K14756~K16190~K16849~K16850~K17738~K17743~K17818~K18102~K18103~K18106~K18107~K19551~K19588~K19634~K21030~K21031~K21619~K21680~K21681~K22185~K22186~K22187~K22396~K22397~K22539~K22933~K22935~K22994~
map00051	Carbohydrate metabolism	Fructose and mannose metabolism	K00007~K00008~K00009~K00011~K00045~K00064~K00066~K00068~K00594~K00844~K00846~K00847~K00848~K00850~K00863~K00879~K00881~K00882~K00895~K00900~K00966~K00971~K00976~K01086~K01103~K01218~K01622~K01623~K01624~K01628~K01629~K01711~K01729~K01795~K01803~K01805~K01808~K01809~K01813~K01818~K01820~K01840~K02377~K02446~K02768~K02769~K02770~K02771~K02781~K02782~K02783~K02793~K02794~K02795~K02796~K02798~K02799~K02800~K02812~K02813~K02814~K02815~K03332~K03841~K04041~K05305~K05947~K07026~K07046~K08261~K11194~K11195~K11196~K11532~K11645~K12660~K12661~K14634~K15778~K15856~K15916~K16011~K16305~K16306~K16370~K16881~K17195~K17497~K17742~K18333~K18334~K18335~K18336~K18337~K18338~K18339~K18447~K18818~K19028~K19029~K19030~K19290~K19291~K19355~K19633~K19956~K21071~K21883~K22252~
map00052	Carbohydrate metabolism	Galactose metabolism	K00011~K00035~K00094~K00704~K00844~K00845~K00849~K00850~K00883~K00917~K00963~K00965~K01084~K01182~K01187~K01189~K01190~K01193~K01203~K01220~K01229~K01631~K01635~K01684~K01784~K01785~K01819~K01835~K01854~K02079~K02080~K02744~K02745~K02746~K02747~K02773~K02774~K02775~K02786~K02787~K02788~K04618~K05308~K06611~K06617~K07406~K07407~K07966~K07967~K08302~K10984~K10985~K10986~K11395~K12047~K12111~K12112~K12308~K12309~K12316~K12317~K12407~K12447~K15778~K15779~K16370~K16371~K17716~K18124~K18125~K18126~K18127~K18819~K21071~K21620~K21621~K21622~K22215~
map00053	Carbohydrate metabolism	Ascorbate and aldarate metabolism	K00012~K00064~K00103~K00128~K00149~K00225~K00423~K00434~K00469~K00699~K00880~K01053~K01630~K01706~K01707~K01708~K02821~K02822~K03077~K03078~K03079~K03475~K03476~K08092~K08232~K10046~K10047~K12447~K13873~K13874~K13875~K13876~K13877~K14085~K14190~K16190~K17744~K18649~K18981~K18982~K18983~K19588~K19642~K19660~K20023~K21888~K23003~K23004~K23005~K23007~
map00500	Carbohydrate metabolism	Starch and sucrose metabolism	K00688~K00689~K00690~K00691~K00692~K00693~K00694~K00695~K00696~K00697~K00700~K00701~K00702~K00703~K00705~K00706~K00750~K00844~K00845~K00847~K00963~K00975~K00978~K01084~K01087~K01176~K01177~K01178~K01179~K01182~K01187~K01188~K01193~K01194~K01196~K01199~K01200~K01203~K01208~K01210~K01212~K01214~K01222~K01223~K01225~K01226~K01232~K01236~K01513~K01810~K01835~K01838~K02438~K02749~K02750~K02759~K02760~K02761~K02777~K02790~K02791~K02808~K02809~K02810~K02817~K02818~K02819~K05341~K05342~K05343~K05349~K05350~K05988~K05992~K06044~K06859~K06896~K07024~K07405~K11809~K12047~K12316~K12317~K12407~K13057~K13679~K13810~K15778~K15779~K15916~K16055~K16146~K16147~K16148~K16149~K16150~K16153~K18447~K18775~K19357~K19668~K19891~K19892~K19893~K20107~K20108~K20811~K20812~K21574~K22337~K22451~K22934~
map00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism	K00012~K00066~K00075~K00326~K00523~K00621~K00698~K00770~K00790~K00820~K00844~K00845~K00847~K00849~K00884~K00885~K00886~K00963~K00965~K00966~K00971~K00972~K00975~K00976~K00978~K00983~K00992~K01097~K01183~K01198~K01207~K01209~K01233~K01443~K01452~K01639~K01654~K01709~K01711~K01784~K01787~K01788~K01791~K01809~K01810~K01835~K01836~K01840~K01854~K02377~K02472~K02473~K02474~K02564~K02763~K02764~K02765~K02777~K02778~K02779~K02790~K02791~K02793~K02794~K02795~K02796~K02802~K02803~K02804~K03431~K04042~K05304~K05305~K06118~K06859~K07102~K07106~K07806~K08068~K08080~K08678~K08679~K10011~K10012~K10046~K11191~K11192~K11528~K12373~K12407~K12409~K12446~K12447~K12448~K12449~K12450~K12451~K12452~K12453~K12454~K12455~K13010~K13014~K13015~K13016~K13017~K13018~K13019~K13020~K13379~K13381~K13648~K13810~K13967~K15778~K15779~K15855~K15856~K15857~K15858~K15894~K15895~K15896~K15897~K15898~K15899~K15910~K15912~K15913~K15916~K15920~K15921~K16011~K16190~K16881~K17497~K17716~K17939~K18429~K18430~K18431~K18675~K18676~K18677~K19632~K20116~K20117~K20118~K20547~K20844~K21749~K22252~K22268~K22292~K22925~K22926~
map00620	Carbohydrate metabolism	Pyruvate metabolism	K00016~K00024~K00025~K00026~K00027~K00028~K00029~K00049~K00051~K00090~K00101~K00102~K00116~K00128~K00132~K00138~K00149~K00156~K00158~K00161~K00162~K00163~K00169~K00170~K00171~K00172~K00174~K00175~K00244~K00245~K00246~K00247~K00382~K00467~K00625~K00626~K00627~K00656~K00873~K00925~K01003~K01006~K01007~K01026~K01067~K01069~K01512~K01571~K01573~K01595~K01596~K01610~K01638~K01649~K01655~K01676~K01677~K01678~K01679~K01759~K01895~K01905~K01913~K01946~K01958~K01959~K01960~K01961~K01962~K01963~K02160~K02594~K03737~K03777~K03778~K04020~K04021~K04072~K04073~K05523~K07248~K10977~K11262~K11263~K12406~K12972~K13788~K14085~K15024~K17741~K18118~K18366~K18472~K18881~K19266~K20370~K20509~K21618~K22211~K22212~K22224~K22373~K23257~
map00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism	K00015~K00018~K00023~K00024~K00025~K00026~K00042~K00048~K00049~K00050~K00090~K00104~K00122~K00123~K00124~K00126~K00127~K00281~K00282~K00283~K00284~K00382~K00600~K00605~K00626~K00830~K00865~K01091~K01432~K01433~K01450~K01455~K01458~K01569~K01577~K01601~K01602~K01608~K01625~K01637~K01638~K01647~K01681~K01682~K01816~K01846~K01847~K01848~K01849~K01895~K01913~K01915~K01964~K01965~K01966~K02437~K03418~K03779~K03780~K03781~K04835~K05606~K07130~K07246~K07248~K08691~K08692~K11263~K11472~K11473~K11517~K11529~K12972~K14067~K14263~K14272~K14446~K14447~K14448~K14449~K14451~K15036~K15037~K15893~K15918~K15919~K17865~K18121~K18123~K18472~K19268~K19269~K19280~K19281~K19282~K19312~K22133~K22223~K22515~K22568~K22982~
map00640	Carbohydrate metabolism	Propanoate metabolism	K00005~K00016~K00048~K00086~K00140~K00166~K00167~K00169~K00170~K00171~K00172~K00232~K00248~K00382~K00625~K00626~K00656~K00822~K00823~K00925~K00932~K01026~K01034~K01035~K01574~K01578~K01659~K01682~K01692~K01699~K01720~K01734~K01782~K01825~K01847~K01848~K01849~K01895~K01899~K01900~K01902~K01903~K01905~K01908~K01946~K01961~K01962~K01963~K01964~K01965~K01966~K02160~K03416~K03417~K05605~K05606~K07250~K07511~K07514~K07515~K08325~K09699~K09788~K11262~K11263~K11264~K11381~K13524~K13788~K13919~K13920~K13921~K13922~K13923~K14468~K14729~K15024~K15036~K15037~K17489~K17490~K17741~K18223~K18224~K18225~K18226~K18369~K18370~K18371~K18372~K18382~K18426~K18471~K18472~K19312~K19697~K19709~K19745~K20143~K20455~K20626~K20627~K22214~K22224~K22568~K23146~K23257~K23259~
map00650	Carbohydrate metabolism	Butanoate metabolism	K00004~K00019~K00022~K00023~K00043~K00074~K00100~K00109~K00132~K00135~K00139~K00169~K00170~K00171~K00172~K00174~K00175~K00209~K00239~K00240~K00241~K00242~K00244~K00245~K00246~K00247~K00248~K00626~K00634~K00656~K00823~K00929~K01027~K01028~K01029~K01034~K01035~K01039~K01040~K01575~K01580~K01615~K01640~K01641~K01652~K01653~K01692~K01715~K01782~K01799~K01825~K01896~K01907~K01913~K03366~K03737~K03821~K04072~K04073~K05973~K07246~K07250~K07511~K07514~K07515~K07516~K07518~K08318~K08324~K11258~K13524~K14268~K14534~K16871~K17761~K17829~K17865~K18009~K18118~K18119~K18120~K18121~K18122~K18366~K18859~K18860~K19709~K20509~K21317~K21318~K21319~K21320~K21321~K21322~K22881~K23351~K23352~
map00660	Carbohydrate metabolism	C5-Branched dibasic acid metabolism	K00052~K01575~K01652~K01653~K01703~K01704~K01846~K01902~K01903~K04835~K08691~K09011~K10218~K11258~K14449~K14471~K14472~K17724~K18288~K18289~K18290~K18291~K18292~K19268~K19281~K22002~K22003~K22004~K22005~
map00562	Carbohydrate metabolism	Inositol phosphate metabolism	K00010~K00140~K00469~K00888~K00889~K00911~K00913~K00914~K00915~K00920~K00921~K00922~K00923~K00999~K01083~K01092~K01093~K01099~K01106~K01107~K01108~K01109~K01110~K01114~K01116~K01765~K01771~K01803~K01858~K03084~K03103~K03335~K03336~K03337~K03338~K03339~K05857~K05858~K05859~K05860~K05861~K06606~K07281~K07291~K10047~K10572~K13711~K13712~K15422~K15759~K15909~K16043~K16044~K16619~K18081~K18082~K18083~K18086~K18649~K19006~K19517~K19786~K19801~K20278~K20279~K21289~K21302~K21797~K21798~K22230~K22231~K22232~K22233~K22913~
map00190	Energy metabolism	Oxidative phosphorylation	K00234~K00235~K00236~K00237~K00239~K00240~K00241~K00242~K00244~K00245~K00246~K00247~K00329~K00330~K00331~K00332~K00333~K00334~K00335~K00336~K00337~K00338~K00339~K00340~K00341~K00342~K00343~K00356~K00404~K00405~K00406~K00407~K00410~K00411~K00412~K00413~K00414~K00415~K00416~K00417~K00418~K00419~K00420~K00424~K00425~K00426~K00937~K01507~K01535~K01542~K01543~K01544~K01549~K02107~K02108~K02109~K02110~K02111~K02112~K02113~K02114~K02115~K02117~K02118~K02119~K02120~K02121~K02122~K02123~K02124~K02125~K02126~K02127~K02128~K02129~K02130~K02131~K02132~K02133~K02134~K02135~K02136~K02137~K02138~K02139~K02140~K02141~K02142~K02143~K02144~K02145~K02146~K02147~K02148~K02149~K02150~K02151~K02152~K02153~K02154~K02155~K02256~K02257~K02258~K02259~K02260~K02261~K02262~K02263~K02264~K02265~K02266~K02267~K02268~K02269~K02270~K02271~K02272~K02273~K02274~K02275~K02276~K02277~K02297~K02298~K02299~K02300~K02826~K02827~K02828~K02829~K03661~K03662~K03878~K03879~K03880~K03881~K03882~K03883~K03884~K03885~K03886~K03887~K03888~K03889~K03890~K03891~K03934~K03935~K03936~K03937~K03938~K03939~K03940~K03941~K03942~K03943~K03944~K03945~K03946~K03947~K03948~K03949~K03950~K03951~K03952~K03953~K03954~K03955~K03956~K03957~K03958~K03959~K03960~K03961~K03962~K03963~K03964~K03965~K03966~K03967~K03968~K05572~K05573~K05574~K05575~K05576~K05577~K05578~K05579~K05580~K05581~K05582~K05583~K05584~K05585~K05586~K05587~K05588~K06019~K11351~K11352~K11353~K11725~K11726~K13378~K13380~K15408~K15862~K15863~K15986~K18859~K18860~K22468~K22501~
map00195	Energy metabolism	Photosynthesis	K02108~K02109~K02110~K02111~K02112~K02113~K02114~K02115~K02634~K02635~K02636~K02637~K02638~K02639~K02640~K02641~K02642~K02643~K02689~K02690~K02691~K02692~K02693~K02694~K02695~K02696~K02697~K02698~K02699~K02700~K02701~K02702~K02703~K02704~K02705~K02706~K02707~K02708~K02709~K02710~K02711~K02712~K02713~K02714~K02716~K02717~K02718~K02719~K02720~K02721~K02722~K02723~K02724~K03541~K03542~K03689~K08901~K08902~K08903~K08904~K08905~K08906~K14332~
map00196	Energy metabolism	Photosynthesis - antenna proteins	K02092~K02093~K02094~K02095~K02096~K02097~K02284~K02285~K02286~K02287~K02288~K02289~K02290~K02628~K02629~K02630~K02631~K02632~K05376~K05377~K05378~K05379~K05380~K05381~K05382~K05383~K05384~K05385~K05386~K08907~K08908~K08909~K08910~K08911~K08912~K08913~K08914~K08915~K08916~K08917~K14172~K20713~
map00710	Energy metabolism	Carbon fixation in photosynthetic organisms	K00024~K00025~K00026~K00028~K00029~K00051~K00134~K00150~K00615~K00814~K00855~K00927~K01006~K01086~K01100~K01595~K01601~K01602~K01610~K01621~K01623~K01624~K01783~K01803~K01807~K01808~K02446~K03841~K04041~K05298~K11214~K11532~K11645~K14272~K14454~K14455~
map00720	Energy metabolism	Carbon fixation pathways in prokaryotes	K00024~K00031~K00169~K00170~K00171~K00172~K00174~K00175~K00176~K00177~K00194~K00196~K00197~K00198~K00239~K00240~K00241~K00242~K00244~K00245~K00246~K00247~K00297~K00625~K00626~K00925~K01006~K01007~K01491~K01595~K01648~K01676~K01677~K01678~K01679~K01681~K01682~K01847~K01848~K01849~K01895~K01902~K01903~K01938~K01958~K01959~K01960~K01961~K01962~K01963~K01964~K02160~K03737~K05299~K05606~K08691~K09709~K13788~K14138~K14449~K14465~K14466~K14467~K14468~K14469~K14470~K14471~K14472~K14534~K15016~K15017~K15018~K15019~K15020~K15022~K15023~K15024~K15036~K15037~K15038~K15039~K15052~K15230~K15231~K15232~K15233~K15234~K18209~K18210~K18556~K18557~K18558~K18559~K18560~K18593~K18594~K18602~K18603~K18604~K18605~K18859~K18860~K18861~
map00680	Energy metabolism	Methane metabolism	K00018~K00024~K00058~K00093~K00121~K00122~K00123~K00124~K00125~K00126~K00127~K00148~K00169~K00170~K00171~K00172~K00192~K00193~K00194~K00195~K00196~K00197~K00198~K00200~K00201~K00202~K00203~K00204~K00205~K00300~K00317~K00319~K00320~K00399~K00400~K00401~K00402~K00440~K00441~K00442~K00443~K00577~K00578~K00579~K00580~K00581~K00582~K00583~K00584~K00600~K00625~K00672~K00830~K00831~K00850~K00863~K00918~K00925~K01007~K01070~K01079~K01086~K01499~K01595~K01622~K01623~K01624~K01689~K01834~K01895~K02203~K02446~K03388~K03389~K03390~K03396~K03421~K03422~K03532~K03533~K03841~K04041~K04480~K05299~K05884~K05979~K06034~K06914~K07072~K07144~K07811~K07812~K07821~K08093~K08094~K08097~K08264~K08265~K08685~K08691~K08692~K09733~K10713~K10714~K10944~K10945~K10946~K10977~K10978~K11212~K11260~K11261~K11529~K11532~K11645~K11779~K11780~K11781~K12234~K13039~K13788~K13812~K13831~K13942~K14028~K14029~K14067~K14080~K14081~K14082~K14083~K14084~K14126~K14127~K14128~K14940~K14941~K15022~K15228~K15229~K15633~K15634~K15635~K16157~K16158~K16159~K16160~K16161~K16162~K16176~K16177~K16178~K16179~K16254~K16255~K16256~K16257~K16258~K16259~K16260~K16305~K16306~K16370~K16792~K16793~K17066~K17067~K17068~K17100~K18277~K18933~K19793~K21071~K22081~K22082~K22083~K22084~K22085~K22086~K22087~K22305~K22480~K22481~K22482~K22515~K22516~
map00910	Energy metabolism	Nitrogen metabolism	K00260~K00261~K00262~K00264~K00265~K00266~K00284~K00360~K00362~K00363~K00366~K00367~K00368~K00370~K00371~K00372~K00374~K00376~K00459~K00531~K00926~K01455~K01501~K01672~K01673~K01674~K01725~K01743~K01915~K01948~K02305~K02567~K02568~K02575~K02586~K02588~K02591~K03385~K04561~K05601~K10534~K10535~K10944~K10945~K10946~K15371~K15576~K15577~K15578~K15579~K15864~K15876~K15877~K17877~K18245~K18246~K19823~K20932~K20933~K20934~K20935~K22896~K22897~K22898~K22899~
map00920	Energy metabolism	Sulfur metabolism	K00299~K00380~K00381~K00385~K00387~K00390~K00392~K00394~K00395~K00640~K00641~K00651~K00860~K00955~K00956~K00957~K00958~K00988~K01011~K01082~K01738~K01739~K02045~K02046~K02047~K02048~K02439~K03119~K04091~K05301~K05907~K06881~K07306~K07307~K07308~K08352~K08353~K08354~K08357~K08358~K08359~K10150~K10764~K10831~K11180~K11181~K13034~K13811~K15422~K15551~K15552~K15553~K15554~K15555~K15759~K15762~K15765~K16936~K16937~K16950~K16951~K16952~K16953~K16954~K16955~K16964~K16965~K16966~K16967~K16968~K16969~K17069~K17217~K17218~K17219~K17220~K17221~K17222~K17223~K17224~K17225~K17226~K17227~K17228~K17229~K17230~K17285~K17486~K17725~K17993~K17994~K17995~K17996~K20034~K20035~K20036~K21307~K21308~K21309~K21310~K22470~K22622~K22966~K23163~K23304~
map00061	Lipid metabolism	Fatty acid biosynthesis	K00059~K00208~K00209~K00645~K00647~K00648~K00665~K00667~K00668~K01071~K01716~K01897~K01946~K01961~K01962~K01963~K02160~K02371~K02372~K03921~K03922~K07512~K09458~K10780~K10781~K10782~K11262~K11263~K11533~K11539~K13370~K15013~K16363~K18472~K18473~K18474~K18660~K22540~K22541~
map00062	Lipid metabolism	Fatty acid elongation	K00022~K01068~K01074~K07508~K07509~K07511~K07512~K07515~K10203~K10205~K10244~K10245~K10246~K10247~K10248~K10249~K10250~K10251~K10258~K10703~K15397~K16339~K17360~K22554~
map00071	Lipid metabolism	Fatty acid degradation	K00001~K00022~K00121~K00128~K00149~K00232~K00248~K00249~K00252~K00255~K00493~K00496~K00529~K00626~K00632~K01692~K01782~K01825~K01897~K01909~K04072~K05297~K05939~K06445~K07425~K07508~K07509~K07511~K07513~K07514~K07515~K07516~K07517~K08765~K08766~K09478~K09479~K10527~K13238~K13239~K13767~K13951~K13952~K13953~K13954~K13980~K14085~K14338~K15013~K15401~K18857~K18880~K19523~K19524~K20495~K21738~K22567~K22887~
map00072	Lipid metabolism	Synthesis and degradation of ketone bodies	K00019~K00626~K01027~K01028~K01029~K01574~K01640~K01641~
map00073	Lipid metabolism	"Cutin, suberine and wax biosynthesis"	K13356~K13407~K15398~K15399~K15400~K15401~K15402~K15403~K15404~K15405~K15406~K17991~K20495~K20769~
map00100	Lipid metabolism	Steroid biosynthesis	K00213~K00222~K00223~K00227~K00511~K00559~K00637~K00801~K01052~K01824~K01852~K01853~K05917~K07419~K07436~K07438~K07748~K07750~K08242~K08246~K09827~K09828~K09829~K09831~K09832~K12298~K13373~K14423~K14424~K14674~K21146~K23485~K23558~
map00120	Lipid metabolism	Primary bile acid biosynthesis	K00037~K00251~K00488~K00489~K00659~K01442~K01796~K07430~K07431~K07439~K07440~K08748~K08764~K10214~K10223~K11992~K12405~K12408~
map00121	Lipid metabolism	Secondary bile acid biosynthesis	K00076~K01442~K07007~K15868~K15869~K15870~K15871~K15872~K15873~K15874~K22604~K22605~K22606~K22607~K23231~
map00140	Lipid metabolism	Steroid hormone biosynthesis	K00037~K00038~K00044~K00070~K00071~K00089~K00212~K00251~K00489~K00497~K00498~K00512~K00513~K00545~K00699~K01015~K01016~K01130~K01131~K01822~K04119~K05295~K05296~K07408~K07409~K07410~K07412~K07413~K07414~K07415~K07424~K07430~K07433~K07434~K10207~K10251~K12343~K12344~K12345~K13368~K13369~K13370~K13373~K15680~K17689~K17690~K17691~K22970~
map00561	Lipid metabolism	Glycerolipid metabolism	K00002~K00005~K00011~K00086~K00128~K00149~K00629~K00630~K00631~K00635~K00655~K00679~K00863~K00864~K00865~K00901~K01046~K01054~K01059~K01080~K01189~K03429~K03621~K03715~K05878~K05879~K05881~K06116~K06117~K06118~K06119~K06120~K06121~K06122~K07029~K07406~K07407~K08591~K09480~K09881~K11155~K11160~K11529~K12298~K13506~K13507~K13508~K13509~K13513~K13517~K13519~K13523~K13534~K13677~K14073~K14074~K14075~K14076~K14085~K14452~K14456~K14457~K14458~K14674~K14675~K15728~K15918~K16816~K17900~K18097~K18693~K18851~K19002~K19003~K19004~K19005~K19007~K20024~K21362~K22251~K22283~K22284~K22831~K22848~K22849~K22920~K23736~K23737~
map00564	Lipid metabolism	Glycerophospholipid metabolism	K00006~K00057~K00096~K00105~K00111~K00112~K00113~K00550~K00551~K00570~K00623~K00629~K00630~K00631~K00649~K00650~K00655~K00866~K00894~K00901~K00967~K00968~K00980~K00981~K00993~K00994~K00995~K00998~K00999~K01004~K01047~K01048~K01049~K01058~K01080~K01094~K01095~K01096~K01114~K01115~K01126~K01517~K01521~K01613~K03735~K03736~K04019~K05929~K05939~K06123~K06124~K06128~K06129~K06130~K06131~K06132~K07029~K08591~K08729~K08730~K08744~K13333~K13506~K13507~K13508~K13509~K13510~K13511~K13512~K13513~K13514~K13515~K13516~K13517~K13519~K13523~K13535~K13621~K13622~K13623~K13644~K14156~K14286~K14621~K14674~K14676~K15728~K16342~K16343~K16368~K16369~K16619~K16817~K16818~K16860~K17103~K17104~K17105~K17717~K17830~K18693~K18694~K18695~K18696~K18697~K19007~K19664~K19665~K22389~K22831~
map00565	Lipid metabolism	Ether lipid metabolism	K00803~K00993~K00994~K01019~K01047~K01058~K01062~K01080~K01114~K01115~K01122~K04628~K06123~K08743~K13510~K13512~K13519~K13644~K14621~K14674~K16342~K16343~K16619~K16794~K16795~K16817~K16860~K17717~K18575~K22387~
map00600	Lipid metabolism	Sphingolipid metabolism	K00654~K00720~K01019~K01080~K01117~K01123~K01130~K01134~K01186~K01189~K01190~K01201~K01202~K01441~K01634~K04628~K04708~K04709~K04710~K04711~K04712~K04713~K04714~K04715~K04716~K04717~K04718~K05848~K07406~K07407~K07553~K12309~K12348~K12349~K12350~K12351~K12352~K12353~K12354~K12357~K17108~K23451~K23550~K23727~
map00590	Lipid metabolism	Arachidonic acid metabolism	K00079~K00081~K00084~K00432~K00458~K00460~K00461~K00509~K00807~K01047~K01058~K01254~K01830~K01831~K01832~K04097~K04119~K05309~K07412~K07413~K07415~K07418~K07422~K07425~K08021~K08022~K08726~K11987~K14621~K14674~K15717~K15729~K15730~K16342~K16343~K16817~K17709~K17718~K17719~K17721~K17726~K17728~K18592~K19246~K23486~
map00591	Lipid metabolism	Linoleic acid metabolism	K00454~K00460~K00508~K01047~K01058~K07409~K07413~K07415~K07418~K07424~K08262~K14621~K14674~K15718~K16342~K16343~K16817~K17689~K17718~K17719~K17721~K17862~K17863~K17864~K21794~
map00592	Lipid metabolism	alpha-Linolenic acid metabolism	K00224~K00232~K00454~K00632~K01047~K01058~K01723~K05894~K07513~K08241~K10226~K10525~K10526~K10527~K10528~K10529~K14621~K14674~K16342~K16343~K16817~K16818~K18857~K18858~K22389~
map01040	Lipid metabolism	Biosynthesis of unsaturated fatty acids	K00232~K00507~K00659~K01068~K03921~K03922~K07513~K08764~K10203~K10205~K10224~K10226~K10244~K10245~K10246~K10247~K10248~K10249~K10250~K10251~K10256~K10258~K10703~K10804~K10805~K10806~K12405~K17360~K22769~K22770~K22993~K23006~
map00230	Nucleotide metabolism	Purine metabolism	K00073~K00087~K00088~K00106~K00364~K00365~K00524~K00525~K00526~K00527~K00601~K00602~K00759~K00760~K00764~K00769~K00839~K00856~K00860~K00873~K00892~K00893~K00904~K00926~K00939~K00940~K00942~K00944~K00948~K00951~K00955~K00956~K00957~K00958~K00988~K01081~K01119~K01120~K01129~K01139~K01239~K01241~K01427~K01428~K01429~K01430~K01466~K01477~K01483~K01486~K01487~K01488~K01490~K01492~K01509~K01510~K01511~K01513~K01514~K01515~K01517~K01518~K01519~K01522~K01524~K01525~K01587~K01588~K01589~K01756~K01768~K01769~K01835~K01839~K01923~K01933~K01939~K01945~K01951~K01952~K02083~K02428~K03651~K03783~K03784~K03787~K03815~K03816~K04765~K05851~K05873~K06863~K06928~K06966~K07127~K07816~K08041~K08042~K08043~K08044~K08045~K08046~K08047~K08048~K08049~K08289~K08312~K08693~K08718~K08723~K09913~K10213~K10353~K10807~K10808~K11029~K11175~K11176~K11177~K11178~K11265~K11751~K11787~K11788~K11808~K12304~K12305~K12318~K12319~K12320~K12321~K12322~K12323~K12324~K12406~K13293~K13294~K13296~K13298~K13479~K13480~K13481~K13482~K13483~K13484~K13485~K13713~K13755~K13756~K13757~K13758~K13759~K13760~K13761~K13762~K13763~K13811~K13987~K13988~K14048~K14641~K14642~K14977~K15518~K15519~K15778~K15779~K15780~K16838~K16839~K16840~K16841~K16842~K16855~K16856~K18151~K18283~K18424~K18436~K18437~K18438~K18445~K18447~K18453~K18532~K18533~K18550~K19021~K19572~K19710~K19836~K19964~K19970~K20881~K21053~K21138~K21636~K22026~K22199~K22600~K22601~K22602~K22879~K22944~K23264~K23265~K23269~K23270~
map00240	Nucleotide metabolism	Pyrimidine metabolism	K00207~K00226~K00254~K00524~K00525~K00526~K00527~K00560~K00608~K00609~K00610~K00756~K00757~K00758~K00761~K00762~K00857~K00876~K00893~K00940~K00943~K00945~K01081~K01119~K01240~K01431~K01464~K01465~K01485~K01489~K01493~K01494~K01510~K01511~K01513~K01518~K01520~K01591~K01937~K01954~K01955~K01956~K02823~K02825~K03365~K03465~K03783~K03784~K03787~K04765~K06016~K06966~K08693~K08722~K08723~K08728~K09018~K09019~K09020~K09021~K09023~K09024~K09887~K09903~K09913~K10213~K10807~K10808~K11540~K11541~K11751~K12304~K12305~K13421~K13799~K13800~K13809~K13998~K14641~K14642~K15519~K16066~K16328~K16329~K16330~K16904~K17722~K17723~K17828~K18533~K19794~K19795~K19796~K19797~K19970~K20881~K21057~K21636~K22026~
